,sname,dname,cname,enroll12,numtsttakr12,numerwbenchmark12,pcterwbenchmark12,nummathbenchmark12,pctmathbenchmark12,totnumbothbenchmark12,pctbothbenchmark12
1674,Alexander Hamilton Senior High,Los Angeles Unified,Los Angeles,585,323,217.0,67.18,119.0,36.84,116.0,35.91
1675,Los Angeles Senior High,Los Angeles Unified,Los Angeles,242,229,82.0,35.81,47.0,20.52,42.0,18.34
1676,PUC Community Charter Middle and PUC Community Charter Early College High,Los Angeles Unified,Los Angeles,89,62,27.0,43.55,16.0,25.81,15.0,24.19
1678,American Canyon High,Napa Valley Unified,Napa,412,148,125.0,84.46,78.0,52.7,77.0,52.03
1679,Vintage High,Napa Valley Unified,Napa,396,155,108.0,69.68,74.0,47.74,70.0,45.16
1680,Saint Helena High,Saint Helena Unified,Napa,121,47,41.0,87.23,28.0,59.57,28.0,59.57
1682,Tustin High,Tustin Unified,Orange,577,283,199.0,70.32,128.0,45.23,121.0,42.76
1683,Sweetwater High,Sweetwater Union High,San Diego,732,177,125.0,70.62,86.0,48.59,83.0,46.89
1684,Sylmar Biotech Health Academy,Los Angeles Unified,Los Angeles,57,30,8.0,26.67,3.0,10.0,2.0,6.67
1686,Hector G. Godinez,Santa Ana Unified,Orange,627,582,258.0,44.33,219.0,37.63,179.0,30.76
1687,Century High,Santa Ana Unified,Orange,417,368,95.0,25.82,53.0,14.4,42.0,11.41
1688,Futures High,Twin Rivers Unified,Sacramento,71,15,13.0,86.67,4.0,26.67,4.0,26.67
1690,Christopher High,Gilroy Unified,Santa Clara,397,154,115.0,74.68,80.0,51.95,75.0,48.7
1691,Woodlake High,Woodlake Unified,Tulare,151,22,15.0,68.18,6.0,27.27,6.0,27.27
1693,Magnolia Science Academy 3,Los Angeles County Office of Education,Los Angeles,50,32,20.0,62.5,12.0,37.5,11.0,34.38
1694,Valley High,Elk Grove Unified,Sacramento,369,184,92.0,50.0,50.0,27.17,43.0,23.37
1696,Valhalla High,Grossmont Union High,San Diego,565,148,128.0,86.49,90.0,60.81,88.0,59.46
1698,Grossmont High,Grossmont Union High,San Diego,539,141,111.0,78.72,84.0,59.57,83.0,58.87
1701,Elise P. Buckingham Charter Magnet High,Vacaville Unified,Solano,121,38,35.0,92.11,23.0,60.53,22.0,57.89
1703,Piedmont Hills High,East Side Union High,Santa Clara,480,238,206.0,86.55,187.0,78.57,178.0,74.79
1705,Elsie Allen High,Santa Rosa High,Sonoma,225,40,20.0,50.0,5.0,12.5,5.0,12.5
1708,Milpitas High,Milpitas Unified,Santa Clara,762,335,297.0,88.66,259.0,77.31,249.0,74.33
1714,Liberty Ranch High,Galt Joint Union High,Sacramento,315,140,108.0,77.14,76.0,54.29,73.0,52.14
1715,Galt High,Galt Joint Union High,Sacramento,215,74,45.0,60.81,30.0,40.54,26.0,35.14
1716,Citrus Valley High,Redlands Unified,San Bernardino,490,306,211.0,68.95,158.0,51.63,143.0,46.73
1717,Rialto High,Rialto Unified,San Bernardino,611,170,118.0,69.41,74.0,43.53,72.0,42.35
1720,Live Oak High,Live Oak Unified,Sutter,129,36,24.0,66.67,12.0,33.33,11.0,30.56
1721,Marysville High,Marysville Joint Unified,Yuba,173,50,40.0,80.0,27.0,54.0,26.0,52.0
1722,Castro Valley High,Castro Valley Unified,Alameda,644,311,279.0,89.71,243.0,78.14,234.0,75.24
1726,Susan Miller Dorsey Senior High,Los Angeles Unified,Los Angeles,230,93,22.0,23.66,5.0,5.38,4.0,4.3
1728,James A. Garfield Senior High,Los Angeles Unified,Los Angeles,581,318,151.0,47.48,111.0,34.91,91.0,28.62
1730,Brawley Union High,Brawley Union High,Imperial,373,131,86.0,65.65,38.0,29.01,37.0,28.24
1731,East Valley Senior High,Los Angeles Unified,Los Angeles,141,82,20.0,24.39,8.0,9.76,7.0,8.54
1732,San Rafael High,San Rafael City High,Marin,296,119,93.0,78.15,76.0,63.87,71.0,59.66
1733,Sir Francis Drake High,Tamalpais Union High,Marin,308,102,100.0,98.04,80.0,78.43,80.0,78.43
1736,California Academy of Mathematics and Science,Long Beach Unified,Los Angeles,164,143,139.0,97.2,138.0,96.5,136.0,95.1
1737,Cabrillo High,Long Beach Unified,Los Angeles,531,448,153.0,34.15,61.0,13.62,52.0,11.61
1738,WESM Health/Sports Medicine,Los Angeles Unified,Los Angeles,182,106,63.0,59.43,32.0,30.19,29.0,27.36
1741,Vista Murrieta High,Murrieta Valley Unified,Riverside,884,382,308.0,80.63,210.0,54.97,197.0,51.57
1742,Colton High,Colton Joint Unified,San Bernardino,445,86,48.0,55.81,28.0,32.56,24.0,27.91
1744,Leadership Public Schools: Richmond,West Contra Costa Unified,Contra Costa,149,100,46.0,46.0,29.0,29.0,23.0,23.0
1747,Whitney (Gretchen) High,ABC Unified,Los Angeles,165,80,80.0,100.0,79.0,98.75,79.0,98.75
